outcome,sample,timing,control_group,event_time,estimate,se,ci_low,ci_high
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,50,-3.027073725268257,1.397905933695415,-5.76696935531127,-0.28717809522524407
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,60,-3.4433420444265703,1.3392572915969845,-6.06828633595666,-0.8183977528964808
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,70,-3.9653168660085805,1.4109725542838853,-6.730823072404996,-1.1998106596121652
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,-70,-1.0157581594769343,0.740679050572946,-2.4674890985999083,0.43597277964604
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,-60,-0.059663241214816684,0.7528737867290993,-1.5352958632038511,1.415969380774218
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,-50,-0.8105610768873768,0.6124601385804819,-2.010982948505121,0.3898607947303676
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,-40,0.33379148965599725,0.5778468274328644,-0.798788292112417,1.4663712714244115
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,-30,0.9372228890490143,0.5887542315359297,-0.21673540476140774,2.091181182859436
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,-20,-0.11707132129551355,0.5299003830043705,-1.1556760719840795,0.9215334293930525
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,-10,0,NA,NA,NA
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,0,0.32362248299759766,0.4495834265724951,-0.5575610330844928,1.2048059990796882
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,10,-0.10882293579151693,0.4430051118759831,-0.9771129550684439,0.75946708348541
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,20,-0.7385942732167391,0.4510646145537822,-1.6226809177421522,0.14549237130867398
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,30,-0.8846848012326056,0.36436437856263537,-1.598838983215371,-0.17053061924984025
stem_per_100k_pop,europe_city_only,standard_decade,notyettreated,40,-0.8221517517299234,0.42248151700324893,-1.6502155250562913,0.00591202159644455
