design,spec,outcome,event_time,att,se,conf_low,conf_high
50 km radius,Any exposure,STEM share smoothed (pp),40,3.1500273925298794,1.5788455039389873,0.055490204809464316,6.2445645802502945
50 km radius,Any exposure,STEM share smoothed (pp),50,3.196362955820226,1.379810875445976,0.49193363994611294,5.900792271694339
50 km radius,Any exposure,STEM share smoothed (pp),60,0.8307182068256789,1.4475646492566865,-2.006508505717427,3.6679449193687845
50 km radius,Any exposure,STEM births (count),-60,-0.3100329612234412,0.135987094480383,-0.5765676664049919,-0.04349825604189056
50 km radius,Any exposure,STEM births (count),-50,-0.24627496027996265,0.11544218457882467,-0.47254164205445903,-0.020008278505466298
50 km radius,Any exposure,STEM births (count),-40,-0.20935209816962155,0.07697534501499578,-0.3602237743990133,-0.058480421940229815
50 km radius,Any exposure,STEM births (count),-30,-0.20548331667197178,0.0679997546132215,-0.3387628357138859,-0.07220379763005766
50 km radius,Any exposure,STEM births (count),-20,-0.03249007552698222,0.050497886222502106,-0.13146593252308636,0.0664857814691219
50 km radius,Any exposure,STEM births (count),0,0.042896086781145065,0.05858670333091334,-0.07193385174744509,0.15772602530973523
50 km radius,Any exposure,STEM births (count),10,0.11764783978011398,0.07256857425455182,-0.024586565758807577,0.25988224531903553
50 km radius,Any exposure,STEM births (count),20,0.27974128608130255,0.08080094177950602,0.12137144019347076,0.4381111319691343
50 km radius,Any exposure,STEM births (count),30,0.48931626849553705,0.15391679384227916,0.1876393525646699,0.7909931844264042
50 km radius,Any exposure,STEM births (count),40,0.874169234015248,0.3203031205303604,0.24637511777574161,1.5019633502547545
50 km radius,Any exposure,STEM births (count),50,1.3280646474530804,0.731506881236849,-0.10568883977114374,2.7618181346773047
50 km radius,Any exposure,STEM births (count),60,1.0496088584855612,0.5498481984361767,-0.02809361044934522,2.1273113274204674
50 km radius,Any exposure,Any STEM birth (pp),-60,-4.995586763028867,2.157719111128233,-9.224716220840204,-0.7664573052175303
50 km radius,Any exposure,Any STEM birth (pp),-50,-5.726486658073945,2.224012623684151,-10.085551400494882,-1.3674219156530087
50 km radius,Any exposure,Any STEM birth (pp),-40,-3.746956485397647,2.2264423766563484,-8.11078354364409,0.616870572848796
50 km radius,Any exposure,Any STEM birth (pp),-30,-4.912530191949372,1.8561129726075256,-8.550511618260122,-1.274548765638622
50 km radius,Any exposure,Any STEM birth (pp),-20,-0.30671215721769285,1.9047797690445891,-4.040080504545087,3.4266561901097017
50 km radius,Any exposure,Any STEM birth (pp),0,1.6439539453071477,2.107740137929006,-2.4872167250337043,5.775124615648
50 km radius,Any exposure,Any STEM birth (pp),10,5.50550815442691,2.3469086219448223,0.9055672554150584,10.105449053438761
50 km radius,Any exposure,Any STEM birth (pp),20,4.292531231702342,2.084009778793233,0.2078720652676056,8.377190398137078
50 km radius,Any exposure,Any STEM birth (pp),30,6.285336320788203,2.366195218483982,1.6475936925595986,10.923078949016809
50 km radius,Any exposure,Any STEM birth (pp),40,6.3399526872517775,2.050588386915647,2.3207994488971098,10.359105925606446
50 km radius,Any exposure,Any STEM birth (pp),50,7.326546790478069,2.1999260951578545,3.014691643968675,11.638401936987464
50 km radius,Any exposure,Any STEM birth (pp),60,3.7892384330290247,2.2566724490857486,-0.633839567179042,8.212316433237092
50 km radius,High-access first exposure,STEM share zero-filled (pp),-60,4.10068374102258,9.666542703662063,-14.845739958155063,23.04710744020022
50 km radius,High-access first exposure,STEM share zero-filled (pp),-50,-0.5075027139346828,4.62317510840618,-9.568925926410795,8.55392049854143
50 km radius,High-access first exposure,STEM share zero-filled (pp),-40,-3.123661358219754,4.481519366405785,-11.907439316375093,5.660116599935584
50 km radius,High-access first exposure,STEM share zero-filled (pp),-30,-1.8876307600687083,3.166998424465425,-8.094947672020941,4.319686151883525
50 km radius,High-access first exposure,STEM share zero-filled (pp),-20,4.004835542544423,4.481291916377576,-4.778496613555627,12.788167698644472
50 km radius,High-access first exposure,STEM share zero-filled (pp),0,-0.9591767453314691,3.8458215562187132,-8.496986995520148,6.578633504857209
50 km radius,High-access first exposure,STEM share zero-filled (pp),10,11.05925110864343,5.080278435308276,1.101905375439209,21.01659684184765
50 km radius,High-access first exposure,STEM share zero-filled (pp),20,0.9987491733888697,4.449887677022172,-7.723030673574588,9.720529020352327
50 km radius,High-access first exposure,STEM share zero-filled (pp),30,6.724655258916726,5.349171256672337,-3.7597204041610537,17.209030921994504
50 km radius,High-access first exposure,STEM share zero-filled (pp),40,7.125619792977268,4.328629347665548,-1.3584937284472058,15.609733314401742
50 km radius,High-access first exposure,STEM share zero-filled (pp),50,9.191759195697733,4.960241001504654,-0.5303131672513892,18.913831558646855
50 km radius,High-access first exposure,STEM share zero-filled (pp),60,1.4677309152551976,4.587043931492936,-7.522875190470957,10.458337020981352
50 km radius,High-access first exposure,STEM share smoothed (pp),-60,-0.7438667686844964,8.045927866350986,-16.51388538673243,15.026151849363437
50 km radius,High-access first exposure,STEM share smoothed (pp),-50,-1.6624540653312456,3.4904962154522816,-8.503826647617718,5.1789185169552265
50 km radius,High-access first exposure,STEM share smoothed (pp),-40,-3.7067510833434425,3.548017407630513,-10.660865202299249,3.2473630356123633
50 km radius,High-access first exposure,STEM share smoothed (pp),-30,-1.4846854976349193,2.7761204600821348,-6.925881599395904,3.956510604126065
50 km radius,High-access first exposure,STEM share smoothed (pp),-20,0.20031167263292848,3.048421968596189,-5.774595385815602,6.175218731081459
50 km radius,High-access first exposure,STEM share smoothed (pp),0,-0.41706124069602213,3.1331046489337204,-6.557946352606114,5.723823871214069
50 km radius,High-access first exposure,STEM share smoothed (pp),10,6.685511433512836,3.9439538639814575,-1.0446381398908207,14.415661006916494
50 km radius,High-access first exposure,STEM share smoothed (pp),20,2.5370878509248365,3.9972870514395913,-5.297594769896762,10.371770471746435
50 km radius,High-access first exposure,STEM share smoothed (pp),30,4.586799976054637,3.7208760960105307,-2.706117172126003,11.879717124235277
50 km radius,High-access first exposure,STEM share smoothed (pp),40,3.9548735066780445,3.2491220745834917,-2.413405759505599,10.323152772861688
50 km radius,High-access first exposure,STEM share smoothed (pp),50,5.770353814636053,3.7411382576033962,-1.5622771702666034,13.10298479953871
50 km radius,High-access first exposure,STEM share smoothed (pp),60,-0.8478812899801647,3.4568518656181277,-7.623310946591695,5.927548366631366
50 km radius,High-access first exposure,STEM births (count),-60,-0.3821072005250367,0.6122455256053866,-1.5821084307115945,0.8178940296615209
50 km radius,High-access first exposure,STEM births (count),-50,-0.11187522021392216,0.14897887024300158,-0.4038738058902052,0.1801233654623609
50 km radius,High-access first exposure,STEM births (count),-40,-0.13898573713156068,0.14837274382359297,-0.42979631502580284,0.15182484076268152
50 km radius,High-access first exposure,STEM births (count),-30,-0.16406826118773718,0.10378287485043833,-0.3674826958945963,0.03934617351912195
50 km radius,High-access first exposure,STEM births (count),-20,-0.08351833698630264,0.09975788070978463,-0.2790437831774805,0.11200710920487524
50 km radius,High-access first exposure,STEM births (count),0,-0.04043195903977796,0.08403375533157437,-0.2051381194896637,0.1242742014101078
50 km radius,High-access first exposure,STEM births (count),10,0.08638217711903146,0.10060729483307813,-0.11080812075380167,0.28357247499186455
50 km radius,High-access first exposure,STEM births (count),20,0.06969341263781434,0.15473995172327604,-0.2335968927398067,0.3729837180154354
50 km radius,High-access first exposure,STEM births (count),30,0.20795577524941697,0.18029554588738442,-0.14542349468985646,0.5613350451886904
50 km radius,High-access first exposure,STEM births (count),40,0.06772972190776885,0.122896781532492,-0.17314796989591547,0.30860741371145317
50 km radius,High-access first exposure,STEM births (count),50,0.3570541621528976,0.2032585987314894,-0.04133269136082163,0.7554410156666168
50 km radius,High-access first exposure,STEM births (count),60,0.25895267343844863,0.22067693942642247,-0.1735741278373394,0.6914794747142367
50 km radius,High-access first exposure,Any STEM birth (pp),-60,-3.768299716445749,12.15715640126511,-27.596326262925366,20.059726830033867
50 km radius,High-access first exposure,Any STEM birth (pp),-50,-3.6058322725074747,4.730633519799949,-12.877873971315374,5.6662094263004255
