design,outcome,estimator,event_time,att,se,conf_low,conf_high
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,20,4.292531231702342,2.109417316782655,0.1580732908083382,8.426989172596347
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,30,6.285336320788203,2.281954021140492,1.812706439352839,10.757966202223567
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,40,6.3399526872517775,2.108100313645632,2.208076072506339,10.471829301997216
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,50,7.326546790478069,2.2165635942971575,2.9820821456556406,11.671011435300498
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,60,3.7892384330290247,2.107696947634706,-0.34184758433499907,7.920324450393048
50 km radius,Any STEM birth (pp),BJS imputation,-60,3.164810611036261,1.3100484207163086,0.5971157064322963,5.732505515640225
50 km radius,Any STEM birth (pp),BJS imputation,-50,2.8087940730873404,1.562472047490854,-0.2536511399947332,5.8712392861694145
50 km radius,Any STEM birth (pp),BJS imputation,-40,4.323275483107775,1.7256776315498374,0.9409473252700935,7.705603640945457
50 km radius,Any STEM birth (pp),BJS imputation,-30,2.719389021975828,1.6690773309214335,-0.5520025466301819,5.990780590581838
50 km radius,Any STEM birth (pp),BJS imputation,-20,7.138102794895603,1.9026636428892143,3.4088820548327425,10.867323534958462
50 km radius,Any STEM birth (pp),BJS imputation,-10,7.4812865237104536,2.0144414309562837,3.5329813190361374,11.42959172838477
50 km radius,Any STEM birth (pp),BJS imputation,0,5.059497511572098,1.7281953666383914,1.672234592960851,8.446760430183344
50 km radius,Any STEM birth (pp),BJS imputation,10,8.957064487996922,1.8680436803541633,5.2956988745027616,12.618430101491082
50 km radius,Any STEM birth (pp),BJS imputation,20,7.728264061151774,1.9344096584636858,3.9368211305629495,11.519706991740598
50 km radius,Any STEM birth (pp),BJS imputation,30,9.72337128091496,2.047448332634346,5.710372548951643,13.736370012878279
50 km radius,Any STEM birth (pp),BJS imputation,40,9.788145934707549,1.964185678372622,5.93834200509721,13.637949864317887
50 km radius,Any STEM birth (pp),BJS imputation,50,10.769075134054763,1.9245554269426048,6.996946497247258,14.541203770862268
50 km radius,Any STEM birth (pp),BJS imputation,60,7.2190914278376574,1.8978708300376133,3.4992646009639357,10.938918254711378
50 km radius,Any STEM birth (pp),Wooldridge ETWFE,-60,8.12833316848281,1.8163503565908838,4.568286469564677,11.688379867400942
50 km radius,Any STEM birth (pp),Wooldridge ETWFE,-50,4.773912621526695,76018.08463961932,-148990.67198103236,149000.2198062754
50 km radius,Any STEM birth (pp),Wooldridge ETWFE,-40,6.319594587497064,73303.15314027021,-143667.86056034212,143680.4997495171
50 km radius,Any STEM birth (pp),Wooldridge ETWFE,-30,5.451828265550799,67294.70386602683,-131892.16774914702,131903.07140567814
50 km radius,Any STEM birth (pp),Wooldridge ETWFE,-20,10.75459582771973,64864.18788701705,-127123.0536627257,127144.56285438113
