outcome,sample,timing,control_spec,control_group,event_time,estimate,se,ci_low,ci_high
n_stem,europe_lau,alternative_decade,population_level,notyettreated,10,1.5799059759857483,0.7701159920563163,0.07047863155536849,3.089333320416128
n_stem,europe_lau,alternative_decade,population_level,notyettreated,20,2.273174251133988,1.2691175882106247,-0.21429622175883667,4.760644724026813
n_stem,europe_lau,alternative_decade,population_level,notyettreated,30,2.3032144038331057,1.1318933573517433,0.08470342342368875,4.521725384242522
n_stem,europe_lau,alternative_decade,population_level,notyettreated,40,3.9916962545291064,1.5969364921750444,0.8617007298660195,7.121691779192194
n_stem,europe_lau,alternative_decade,population_level,notyettreated,50,6.203854093916004,2.5573952150688184,1.1913594723811194,11.216348715450888
n_stem,europe_lau,alternative_decade,population_level,notyettreated,60,2.099726179898324,2.272896061547228,-2.3551501007342424,6.554602460530891
n_stem,europe_lau,alternative_decade,population_level,notyettreated,70,1.2801623442921783,1.8385094834874465,-2.323316243343217,4.883640931927573
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,-70,-0.49572384682651205,0.1423684576629862,-0.774766023845965,-0.2166816698070591
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,-60,-0.31592681195926897,0.12869237836886405,-0.5681638735622425,-0.06368975035629543
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,-50,-0.3855119264656552,0.1042319267914862,-0.5898065029769681,-0.18121734995434224
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,-40,-0.10630969017309523,0.10464882514371177,-0.31142138745477027,0.09880200710857982
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,-30,-0.0894994714131268,0.10650718965059096,-0.29825356312828505,0.11925462030203147
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,-20,-0.10789027539848314,0.11188528031325604,-0.32718542481246493,0.11140487401549867
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,-10,0,NA,NA,NA
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,0,0.09978617496536879,0.09893809445732628,-0.094132490170990707,0.29370484010172826
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,10,0.2224733002498905,0.10176003609239369,0.023023629508798882,0.42192297099098214
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,20,0.16337627017685083,0.1185214695594966,-0.06892581015976251,0.39567835051346417
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,30,0.21835842934348731,0.12969988027037485,-0.03585333598644741,0.47257019467342204
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,40,0.33207288814254154,0.12184828670951763,0.09325024619188702,0.570895530093196
log1p_n_stem,europe_lau,alternative_decade,population_level,notyettreated,50,0.39824283429046453,0.1370265609893853,0.12967077475126937,0.6668148938296596
