fair_row_id,Year,City,Country,Fair_name,event_year,in_treatment_window,lat,lon,geonameid,matched_name,matched_country_iso3,assigned_unit_type,assigned_unit_id,assigned_lau_id,fair_lau_iso2,fair_lau_name,europe_place_name,europe_country,europe_iso3,match_status
26,1853,Dublin,Ireland,Great Industrial Exhibition (1853),1853,TRUE,53.33306,-6.24889,2964574,Dublin,IRL,NA,NA,NA,IE,Pembroke,NA,NA,NA,europe_lau_not_in_panel
27,1854,Genoa,Piedmont-Sardinia,Esposizione Industriale,1854,TRUE,44.40478,8.94439,3176219,Genoa,ITA,europe_lau,GISCO_LAU_IT_010025,IT_010025,IT,Genova,Genova,Italy,ITA,matched_to_panel
28,1854,Munich,Bavaria,General German Industrial Exhibition (Allgemeine deutsche Industrie-Ausstellung),1854,TRUE,48.13743,11.57549,2867714,Munich,DEU,europe_lau,GISCO_LAU_DE_09162000,DE_09162000,DE,"München, Landeshauptstadt","München, Landeshauptstadt",Germany,DEU,matched_to_panel
29,1854,Melbourne,Victoria,Melbourne Exhibition (in conjunction with Exposition Universelle (1855)),1854,TRUE,-37.814,144.96332,2158177,Melbourne,AUS,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
30,1855,Paris,France,Exposition Universelle (1855),1855,TRUE,48.85341,2.3488,2988507,Paris,FRA,europe_lau,GISCO_LAU_FR_75056,FR_75056,FR,Paris,Paris,France,FRA,matched_to_panel
31,1856,Brussels,Belgium,International Exhibition,1856,TRUE,50.85045,4.34878,2800866,Brussels,BEL,europe_lau,GISCO_LAU_BE_21004,BE_21004,BE,Bruxelles / Brussel,Bruxelles / Brussel,Belgium,BEL,matched_to_panel
32,1857,Manchester,United Kingdom,"Art Treasures Exhibition at the Royal Botanical Gardens, Stretford",1857,TRUE,53.48095,-2.23743,2643123,Manchester,GBR,NA,NA,NA,NA,NA,NA,NA,NA,europe_no_lau_spatial_match
33,1857,Lausanne,Switzerland,Lausanne Exhibition,1857,TRUE,46.516,6.63282,2659994,Lausanne,CHE,europe_lau,GISCO_LAU_CH_CH5586,CH_CH5586,CH,Lausanne,Lausanne,Switzerland,CHE,matched_to_panel
34,1858,Dijon,France,Dijon Exposition,1858,TRUE,47.31344,5.01391,3021372,Dijon,FRA,europe_lau,GISCO_LAU_FR_21231,FR_21231,FR,Dijon,Dijon,France,FRA,matched_to_panel
35,1858,Philadelphia,United States,Philadelphia Technological Exhibition,1858,TRUE,39.95238,-75.16362,4560349,Philadelphia,USA,NA,NA,NA,NA,NA,NA,NA,NA,usa_excluded_from_europe_panel
