outcome,sample,timing,control_group,event_time,estimate,se,ci_low,ci_high
n_stem,europe_lau,alternative_decade,notyettreated,50,7.181162899128245,2.624350213196459,2.037436481263186,12.324889316993303
n_stem,europe_lau,alternative_decade,notyettreated,60,3.467320938874985,1.2334970227729054,1.0496667742400905,5.884975103509879
n_stem,europe_lau,alternative_decade,notyettreated,70,1.9258557667498066,1.7911391492756834,-1.5847769658305326,5.436488499330146
log1p_n_stem,europe_lau,alternative_decade,notyettreated,-70,-0.5465281485445346,0.11715249418293466,-0.7761470371430865,-0.3169092599459826
log1p_n_stem,europe_lau,alternative_decade,notyettreated,-60,-0.3498605843856904,0.12313479893651973,-0.591204790301269,-0.10851637847011175
log1p_n_stem,europe_lau,alternative_decade,notyettreated,-50,-0.3933902033500661,0.11590503342552348,-0.6205640688640921,-0.16621633783604006
log1p_n_stem,europe_lau,alternative_decade,notyettreated,-40,-0.15410658646652417,0.10626669317427996,-0.3623893050881129,0.05417613215506456
log1p_n_stem,europe_lau,alternative_decade,notyettreated,-30,-0.11227955921364298,0.11260474340059788,-0.3329848562788148,0.10842573785152886
log1p_n_stem,europe_lau,alternative_decade,notyettreated,-20,-0.09019856759310908,0.1111317201354901,-0.30801673905866966,0.12761960387245153
log1p_n_stem,europe_lau,alternative_decade,notyettreated,-10,0,NA,NA,NA
log1p_n_stem,europe_lau,alternative_decade,notyettreated,0,0.11991273769034856,0.09851941613736945,-0.07318531793889556,0.3130107933195927
log1p_n_stem,europe_lau,alternative_decade,notyettreated,10,0.26494290598272274,0.09591393772318968,0.07695158804527097,0.4529342239201745
log1p_n_stem,europe_lau,alternative_decade,notyettreated,20,0.2078439233918321,0.11453505198891145,-0.016644778506434338,0.4323326252900985
log1p_n_stem,europe_lau,alternative_decade,notyettreated,30,0.27395865647252765,0.10207087902761713,0.07389973357839807,0.4740175793666572
log1p_n_stem,europe_lau,alternative_decade,notyettreated,40,0.3623058007973813,0.09375222555564618,0.17855143870831477,0.5460601628864478
log1p_n_stem,europe_lau,alternative_decade,notyettreated,50,0.4299810850292295,0.10116646854751853,0.23169480667609318,0.6282673633823658
log1p_n_stem,europe_lau,alternative_decade,notyettreated,60,0.31303893825342777,0.09597563739304059,0.12492668896306822,0.5011511875437873
log1p_n_stem,europe_lau,alternative_decade,notyettreated,70,0.1311861944623385,0.12649714710135668,-0.11674821385632059,0.3791206027809976
